# S.No.    Energy (eV)       g(E)
  107        1.201537e-02      1.300650e-06  
  108        1.345374e-02      1.334753e-06  
  109        1.497041e-02      1.358570e-06  
  110        1.656474e-02      1.384774e-06  
  111        1.823609e-02      1.397540e-06  
  112        1.998376e-02      1.397687e-06  
  113        2.180704e-02      1.407470e-06  
  114        2.370519e-02      1.319604e-06  
  115        2.567745e-02      8.863560e-07  
  116        2.772303e-02      7.590453e-07  
  117        2.984112e-02      7.099949e-07  
  118        3.203088e-02      6.562377e-07  
  119        3.429147e-02      6.534399e-07  
  120        3.662201e-02      6.288445e-07  
  121        3.902160e-02      6.056926e-07  
  122        4.148934e-02      5.937258e-07  
  123        4.402431e-02      5.686270e-07  
  124        4.662557e-02      5.603214e-07  
  125        4.929216e-02      4.603825e-07  
  126        5.202312e-02      4.225237e-07  
  127        5.481748e-02      3.952679e-07  
  128        5.767426e-02      3.620397e-07  
  129        6.059248e-02      3.403671e-07  
  130        6.357112e-02      3.173976e-07  
  131        6.660921e-02      3.066104e-07  
  132        6.970574e-02      2.817951e-07  
  133        7.285971e-02      2.492615e-07  
  134        7.607013e-02      2.305538e-07  
  135        7.933599e-02      2.118424e-07  
  136        8.265632e-02      1.935126e-07  
  137        8.603013e-02      1.780316e-07  
  138        8.945644e-02      1.591672e-07  
  139        9.293431e-02      1.450052e-07  
  140        9.646278e-02      1.298529e-07  
  141        1.000409e-01      1.217303e-07  
  142        1.036678e-01      1.092118e-07  
  143        1.073426e-01      9.859024e-08  
  144        1.110643e-01      8.924504e-08  
  145        1.148322e-01      7.957709e-08  
  146        1.186454e-01      7.174059e-08  
  147        1.225031e-01      6.394316e-08  
  148        1.264046e-01      5.497973e-08  
  149        1.303491e-01      4.905115e-08  
  150        1.343360e-01      4.393324e-08  
  151        1.383646e-01      3.878041e-08  
  152        1.424343e-01      3.482009e-08  
  153        1.465444e-01      3.077493e-08  
  154        1.506946e-01      2.676165e-08  
  155        1.548843e-01      2.361632e-08  
  156        1.589614e-01      2.100236e-08  
  157        1.632591e-01      1.818308e-08  
  158        1.675947e-01      1.661902e-08  
  159        1.719676e-01      1.454844e-08  
  160        1.763771e-01      1.263759e-08  
  161        1.808224e-01      1.104052e-08  
  162        1.853029e-01      9.697560e-09  
  163        1.898177e-01      7.987667e-09  
  164        1.943663e-01      6.934035e-09  
  165        1.989480e-01      5.995860e-09  
  166        2.035620e-01      5.195909e-09  
  167        2.082076e-01      4.515683e-09  
  168        2.128843e-01      3.798083e-09  
  169        2.175914e-01      3.272304e-09  
  170        2.223282e-01      2.812556e-09  
  171        2.270940e-01      2.422509e-09  
  172        2.318883e-01      2.086229e-09  
  173        2.367103e-01      1.768068e-09  
  174        2.415596e-01      1.512445e-09  
  175        2.464354e-01      1.291892e-09  
  176        2.513372e-01      1.107343e-09  
  177        2.562644e-01      9.467239e-10  
  178        2.612163e-01      8.026421e-10  
  179        2.661925e-01      6.820961e-10  
  180        2.711922e-01      5.793751e-10  
  181        2.762150e-01      4.933357e-10  
  182        2.812603e-01      4.197432e-10  
  183        2.863275e-01      3.551868e-10  
  184        2.914162e-01      3.003265e-10  
  185        2.965256e-01      2.539039e-10  
  186        3.016553e-01      2.148442e-10  
  187        3.068049e-01      1.816729e-10  
  188        3.119737e-01      1.535489e-10  
  189        3.171612e-01      1.292490e-10  
  190        3.223669e-01      1.089765e-10  
  191        3.275904e-01      9.192061e-11  
  192        3.328311e-01      7.717726e-11  
  193        3.380886e-01      6.495995e-11  
  194        3.433624e-01      5.444524e-11  
  195        3.486519e-01      4.589323e-11  
  196        3.539567e-01      3.890495e-11  
  197        3.592764e-01      3.234804e-11  
  198        3.646105e-01      2.710396e-11  
  199        3.699586e-01      2.262987e-11  
  200        3.753202e-01      1.898981e-11  
  201        3.806948e-01      1.666463e-11  
  202        3.860821e-01      1.353141e-11  
  203        3.914815e-01      1.132182e-11  
  204        3.968928e-01      9.420174e-12  
  205        4.023154e-01      7.858266e-12  
  206        4.077491e-01      5.959022e-12  
  207        4.131932e-01      4.996242e-12  
  208        4.186476e-01      4.145115e-12  
  209        4.241117e-01      3.443348e-12  
  210        4.295852e-01      2.713851e-12  
  211        4.350677e-01      2.265192e-12  
  212        4.405589e-01      1.874698e-12  
  213        4.460583e-01      1.552918e-12  
  214        4.515657e-01      1.250426e-12  
  215        4.570805e-01      1.037461e-12  
  216        4.626026e-01      8.568599e-13  
  217        4.681316e-01      7.091680e-13  
  218        4.736670e-01      5.775576e-13  
  219        4.792086e-01      4.773558e-13  
  220        4.847561e-01      3.935888e-13  
  221        4.903091e-01      3.269787e-13  
  222        4.958673e-01      2.677143e-13  
  223        5.014304e-01      2.207007e-13  
  224        5.069980e-01      1.817163e-13  
  225        5.125699e-01      1.524906e-13  
  226        5.181458e-01      1.251482e-13  
  227        5.237253e-01      1.029868e-13  
  228        5.293083e-01      8.470109e-14  
  229        5.348943e-01      7.071029e-14  
  230        5.404832e-01      5.806436e-14  
  231        5.460746e-01      4.770805e-14  
  232        5.516682e-01      3.920099e-14  
  233        5.572639e-01      3.246279e-14  
  234        5.628613e-01      2.665632e-14  
  235        5.684603e-01      2.185670e-14  
  236        5.740604e-01      1.794595e-14  
  237        5.796615e-01      1.479313e-14  
  238        5.852634e-01      1.214488e-14  
  239        5.908658e-01      9.926831e-15  
  240        5.964685e-01      8.145841e-15  
  241        6.020712e-01      6.696967e-15  
  242        6.076737e-01      5.500665e-15  
  243        6.132758e-01      4.497638e-15  
  244        6.188773e-01      3.689132e-15  
  245        6.244780e-01      3.028508e-15  
  246        6.300776e-01      2.495022e-15  
  247        6.356760e-01      2.042539e-15  
  248        6.412730e-01      1.674905e-15  
  249        6.468683e-01      1.373893e-15  
  250        6.524617e-01      1.145493e-15  
  251        6.580532e-01      9.384005e-16  
  252        6.636424e-01      7.694086e-16  
  253        6.692292e-01      6.309153e-16  
  254        6.748135e-01      5.402795e-16  
  255        6.803951e-01      4.428446e-16  
  256        6.859737e-01      3.631402e-16  
  257        6.915493e-01      2.977658e-16  
  258        6.971217e-01      2.522377e-16  
  259        7.026906e-01      2.068218e-16  
  260        7.082561e-01      1.696244e-16  
  261        7.138178e-01      1.390649e-16  
  262        7.193757e-01      1.160702e-16  
  263        7.249296e-01      9.520231e-17  
  264        7.304794e-01      7.809983e-17  
  265        7.360249e-01      6.397239e-17  
  266        7.415661e-01      5.296799e-17  
  267        7.471027e-01      4.346036e-17  
  268        7.526347e-01      3.566715e-17  
  269        7.581619e-01      2.910740e-17  
  270        7.636842e-01      2.399843e-17  
  271        7.692015e-01      1.969879e-17  
  272        7.747137e-01      1.617706e-17  
  273        7.802207e-01      1.308580e-17  
  274        7.857223e-01      1.076754e-17  
  275        7.912186e-01      8.842315e-18  
  276        7.967092e-01      7.271559e-18  
  277        8.021942e-01      5.905418e-18  
  278        8.076735e-01      4.855743e-18  
  279        8.131470e-01      3.989756e-18  
  280        8.186146e-01      3.293479e-18  
  281        8.240762e-01      2.690534e-18  
  282        8.295317e-01      2.212504e-18  
  283        8.349810e-01      1.819091e-18  
  284        8.404241e-01      1.511379e-18  
  285        8.458609e-01      1.239227e-18  
  286        8.512913e-01      1.019565e-18  
  287        8.567152e-01      8.388922e-19  
  288        8.621326e-01      6.816251e-19  
  289        8.675435e-01      5.601714e-19  
  290        8.729477e-01      4.611901e-19  
  291        8.783452e-01      3.797304e-19  
  292        8.837359e-01      3.511435e-19  
  293        8.891199e-01      2.870067e-19  
  294        8.944969e-01      2.362374e-19  
  295        8.998671e-01      1.946415e-19  
  296        9.052302e-01      1.603877e-19  
  297        9.105864e-01      1.415995e-19  
  298        9.159356e-01      1.161689e-19  
  299        9.212776e-01      9.573975e-20  
  300        9.266125e-01      7.894906e-20  
  301        9.319403e-01      6.522609e-20  
  302        9.372609e-01      5.603795e-20  
  303        9.425742e-01      4.611144e-20  
  304        9.478803e-01      3.804590e-20  
  305        9.531791e-01      3.140323e-20  
  306        9.584706e-01      2.615332e-20  
  307        9.637548e-01      2.210321e-20  
  308        9.690317e-01      1.822581e-20  
  309        9.743012e-01      1.505519e-20  
  310        9.795633e-01      1.243981e-20  
  311        9.848180e-01      1.056831e-20  
  312        9.900653e-01      8.847583e-21  
  313        9.953051e-01      7.310491e-21  
  314        1.000538e+00      6.046293e-21  
  315        1.005763e+00      5.002021e-21  
  316        1.010980e+00      4.229518e-21  
  317        1.016190e+00      3.522761e-21  
  318        1.021393e+00      2.914035e-21  
  319        1.026588e+00      2.413091e-21  
  320        1.031776e+00      1.998757e-21  
  321        1.036956e+00      1.677707e-21  
  322        1.042129e+00      1.394281e-21  
  323        1.047295e+00      1.153493e-21  
  324        1.052453e+00      9.564181e-22  
  325        1.057603e+00      7.931818e-22  
  326        1.062747e+00      6.629905e-22  
  327        1.067882e+00      5.506859e-22  
  328        1.073011e+00      4.542666e-22  
  329        1.078132e+00      3.771908e-22  
  330        1.083246e+00      3.132082e-22  
  331        1.088352e+00      2.612212e-22  
  332        1.093451e+00      2.170887e-22  
  333        1.098543e+00      1.795689e-22  
  334        1.103628e+00      1.494050e-22  
  335        1.108705e+00      1.242261e-22  
  336        1.113775e+00      1.035167e-22  
  337        1.118838e+00      8.611590e-23  
  338        1.123893e+00      7.145841e-23  
  339        1.128942e+00      5.972081e-23  
  340        1.133983e+00      4.973010e-23  
  341        1.139018e+00      4.142120e-23  
  342        1.144045e+00      3.450161e-23  
  343        1.149065e+00      2.870107e-23  
  344        1.154078e+00      2.423922e-23  
  345        1.159084e+00      2.022734e-23  
  346        1.164084e+00      1.682004e-23  
  347        1.169076e+00      1.402832e-23  
  348        1.174062e+00      1.169397e-23  
  349        1.179041e+00      9.855073e-24  
  350        1.184012e+00      8.262033e-24  
  351        1.188978e+00      6.828579e-24  
  352        1.193936e+00      5.701254e-24  
  353        1.198888e+00      4.760574e-24  
  354        1.203833e+00      4.000570e-24  
  355        1.208772e+00      3.404208e-24  
  356        1.213704e+00      2.824807e-24  
  357        1.218630e+00      2.359240e-24  
  358        1.223549e+00      1.972974e-24  
  359        1.228461e+00      1.656203e-24  
  360        1.233368e+00      1.467071e-24  
  361        1.238268e+00      1.223001e-24  
  362        1.243162e+00      1.018861e-24  
  363        1.248049e+00      8.533298e-25  
  364        1.252931e+00      7.167929e-25  
  365        1.257806e+00      6.254978e-25  
  366        1.262675e+00      5.230636e-25  
  367        1.267538e+00      4.297573e-25  
  368        1.272395e+00      3.603855e-25  
  369        1.277246e+00      3.037643e-25  
  370        1.282092e+00      2.609016e-25  
  371        1.286931e+00      2.186633e-25  
  372        1.291765e+00      1.717625e-25  
  373        1.296593e+00      1.441875e-25  
  374        1.301415e+00      1.231420e-25  
  375        1.306232e+00      1.047714e-25  
  376        1.311043e+00      8.794980e-26  
  377        1.315848e+00      7.012896e-26  
  378        1.320648e+00      5.895140e-26  
  379        1.325443e+00      5.232855e-26  
  380        1.330232e+00      4.429344e-26  
  381        1.335016e+00      3.723940e-26  
  382        1.339794e+00      2.978367e-26  
  383        1.344568e+00      2.509790e-26  
  384        1.349336e+00      2.193201e-26  
  385        1.354099e+00      1.851985e-26  
  386        1.358857e+00      1.558929e-26  
  387        1.363610e+00      1.191457e-26  
  388        1.368358e+00      1.010355e-26  
  389        1.373101e+00      8.689559e-27  
  390        1.377840e+00      7.328066e-27  
  391        1.382573e+00      6.173979e-27  
  392        1.387302e+00      4.882278e-27  
  393        1.392026e+00      4.241622e-27  
  394        1.396745e+00      3.614997e-27  
  395        1.401460e+00      3.045801e-27  
  396        1.406171e+00      2.568714e-27  
  397        1.410876e+00      2.095282e-27  
  398        1.415578e+00      1.956292e-27  
  399        1.420275e+00      1.659883e-27  
  400        1.424968e+00      1.393957e-27  
  401        1.429656e+00      1.177055e-27  
  402        1.434340e+00      9.764153e-28  
  403        1.439020e+00      8.798871e-28  
  404        1.443696e+00      7.452403e-28  
  405        1.448368e+00      6.190286e-28  
  406        1.453036e+00      5.231798e-28  
  407        1.457699e+00      4.360727e-28  
  408        1.462359e+00      3.818026e-28  
  409        1.467015e+00      3.232034e-28  
  410        1.471667e+00      2.702047e-28  
  411        1.476316e+00      2.285518e-28  
  412        1.480960e+00      1.889046e-28  
  413        1.485601e+00      1.627931e-28  
  414        1.490239e+00      1.378691e-28  
  415        1.494872e+00      1.159506e-28  
  416        1.499503e+00      9.814657e-29  
  417        1.504129e+00      8.238765e-29  
  418        1.508753e+00      7.038951e-29  
  419        1.513372e+00      5.972923e-29  
  420        1.517989e+00      5.041809e-29  
  421        1.522602e+00      4.270760e-29  
  422        1.527212e+00      3.674669e-29  
  423        1.531818e+00      3.126767e-29  
  424        1.536422e+00      2.671082e-29  
  425        1.541022e+00      2.259322e-29  
  426        1.545619e+00      1.915264e-29  
  427        1.550213e+00      1.641845e-29  
  428        1.554804e+00      1.394550e-29  
  429        1.559392e+00      1.219783e-29  
  430        1.563977e+00      1.031687e-29  
  431        1.568559e+00      8.752053e-30  
  432        1.573138e+00      7.470453e-30  
  433        1.577715e+00      6.343003e-30  
  434        1.582288e+00      5.936344e-30  
  435        1.586859e+00      4.997218e-30  
  436        1.591427e+00      4.242825e-30  
  437        1.595992e+00      3.615085e-30  
  438        1.600555e+00      3.070607e-30  
  439        1.605115e+00      2.773801e-30  
  440        1.609672e+00      2.288605e-30  
  441        1.614226e+00      1.944115e-30  
  442        1.618779e+00      1.656203e-30  
  443        1.623328e+00      1.407387e-30  
  444        1.627875e+00      1.237659e-30  
  445        1.632420e+00      9.583562e-31  
  446        1.636962e+00      8.141193e-31  
  447        1.641501e+00      6.952974e-31  
  448        1.646039e+00      5.909809e-31  
  449        1.650574e+00      5.116915e-31  
  450        1.655106e+00      4.103916e-31  
  451        1.659636e+00      3.483614e-31  
  452        1.664164e+00      3.011891e-31  
  453        1.668689e+00      2.561139e-31  
  454        1.673213e+00      2.197779e-31  
  455        1.677734e+00      1.812819e-31  
  456        1.682252e+00      1.532109e-31  
  457        1.686769e+00      1.377104e-31  
  458        1.691283e+00      1.171686e-31  
  459        1.695795e+00      1.001123e-31  
  460        1.700304e+00      8.388085e-32  
  461        1.704812e+00      6.963297e-32  
  462        1.709317e+00      6.142662e-32  
  463        1.713821e+00      5.228678e-32  
  464        1.718322e+00      4.458561e-32  
  465        1.722820e+00      3.767079e-32  
  466        1.727317e+00      2.948043e-32  
  467        1.731812e+00      2.572389e-32  
  468        1.736304e+00      2.190137e-32  
  469        1.740794e+00      1.866065e-32  
  470        1.745283e+00      1.583478e-32  
  471        1.749769e+00      1.272017e-32  
  472        1.754252e+00      1.123054e-32  
  473        1.758734e+00      9.565259e-33  
  474        1.763214e+00      8.149204e-33  
  475        1.767691e+00      6.932319e-33  
  476        1.772166e+00      5.718209e-33  
  477        1.776640e+00      5.370259e-33  
  478        1.781111e+00      4.576704e-33  
  479        1.785579e+00      3.901557e-33  
  480        1.790046e+00      3.323901e-33  
  481        1.794510e+00      2.765023e-33  
  482        1.798972e+00      2.494611e-33  
  483        1.803432e+00      2.126887e-33  
  484        1.807890e+00      1.814809e-33  
  485        1.812346e+00      1.547305e-33  
  486        1.816799e+00      1.265794e-33  
  487        1.821250e+00      1.111478e-33  
  488        1.825698e+00      9.479375e-34  
  489        1.830145e+00      8.109075e-34  
  490        1.834589e+00      6.916693e-34  
  491        1.839030e+00      5.545896e-34  
  492        1.843470e+00      4.802132e-34  
  493        1.847906e+00      4.096792e-34  
  494        1.852341e+00      3.537882e-34  
  495        1.856773e+00      3.018686e-34  
  496        1.861202e+00      2.162874e-34  
  497        1.865629e+00      1.858408e-34  
  498        1.870053e+00      1.585531e-34  
  499        1.874475e+00      1.428875e-34  
  500        1.878894e+00      1.219322e-34  
  501        1.883311e+00      9.423168e-35  
  502        1.887725e+00      8.650334e-35  
  503        1.892136e+00      7.406740e-35  
  504        1.896544e+00      6.321258e-35  
  505        1.900949e+00      6.730565e-35  
  506        1.905352e+00      5.747849e-35  
  507        1.909752e+00      4.677959e-35  
  508        1.914149e+00      4.013981e-35  
  509        1.918543e+00      3.435585e-35  
  510        1.922933e+00      2.934502e-35  
  511        1.927321e+00      2.864840e-35  
  512        1.931706e+00      2.447612e-35  
  513        1.936087e+00      2.038065e-35  
  514        1.940466e+00      1.559927e-35  
  515        1.944841e+00      1.338850e-35  
  516        1.949212e+00      1.143831e-35  
  517        1.953581e+00      1.056559e-35  
  518        1.957946e+00      9.028318e-36  
  519        1.962307e+00      7.610879e-36  
  520        1.966665e+00      6.055557e-36  
  521        1.971019e+00      5.280473e-36  
  522        1.975370e+00      4.512424e-36  
  523        1.979716e+00      4.076166e-36  
  524        1.984060e+00      3.484766e-36  
  525        1.988399e+00      2.959855e-36  
  526        1.992734e+00      2.436028e-36  
  527        1.997065e+00      2.254505e-36  
  528        2.001393e+00      1.926074e-36  
  529        2.005716e+00      1.696486e-36  
  530        2.010035e+00      1.451458e-36  
  531        2.014349e+00      1.238353e-36  
  532        2.018659e+00      1.044064e-36  
  533        2.022965e+00      9.174956e-37  
  534        2.027267e+00      7.807985e-37  
  535        2.031564e+00      6.775755e-37  
  536        2.035856e+00      5.801051e-37  
  537        2.040143e+00      4.961225e-37  
  538        2.044426e+00      4.320800e-37  
  539        2.048703e+00      3.746876e-37  
  540        2.052976e+00      3.136858e-37  
  541        2.057244e+00      2.687701e-37  
  542        2.061506e+00      2.303094e-37  
  543        2.065764e+00      1.972588e-37  
  544        2.070016e+00      1.871781e-37  
  545        2.074262e+00      1.614941e-37  
  546        2.078503e+00      1.365314e-37  
  547        2.082739e+00      1.139570e-37  
  548        2.086969e+00      9.782253e-38  
  549        2.091193e+00      8.388798e-38  
  550        2.095411e+00      7.680578e-38  
  551        2.099623e+00      6.610234e-38  
  552        2.103829e+00      5.627183e-38  
  553        2.108029e+00      4.296136e-38  
  554        2.112222e+00      3.704141e-38  
  555        2.116410e+00      3.178393e-38  
  556        2.120591e+00      2.831296e-38  
  557        2.124765e+00      2.433727e-38  
  558        2.128932e+00      2.080681e-38  
  559        2.133093e+00      1.660694e-38  
  560        2.137247e+00      1.459213e-38  
  561        2.141394e+00      1.252838e-38  
  562        2.145533e+00      1.097873e-38  
  563        2.149666e+00      9.425790e-39  
  564        2.153791e+00      8.084828e-39  
  565        2.157909e+00      6.685073e-39  
  566        2.162019e+00      6.299845e-39  
  567        2.166121e+00      5.474349e-39  
  568        2.170216e+00      4.754949e-39  
  569        2.174303e+00      4.063935e-39  
  570        2.178382e+00      3.494891e-39  
  571        2.182452e+00      2.951433e-39  
  572        2.186514e+00      2.682937e-39  
  573        2.190568e+00      2.413144e-39  
  574        2.194614e+00      2.087432e-39  
  575        2.198650e+00      1.746057e-39  
  576        2.202678e+00      1.504472e-39  
  577        2.206698e+00      1.286189e-39  
  578        2.210708e+00      1.141939e-39  
  579        2.214709e+00      1.012416e-39  
  580        2.218700e+00      8.729342e-40  
  581        2.222683e+00      6.709216e-40  
  582        2.226655e+00      5.788484e-40  
  583        2.230618e+00      5.001181e-40  
  584        2.234572e+00      4.385040e-40  
  585        2.238515e+00      3.859521e-40  
  586        2.242448e+00      3.297222e-40  
  587        2.246371e+00      2.657851e-40  
  588        2.250284e+00      2.295440e-40  
  589        2.254186e+00      2.026307e-40  
  590        2.258078e+00      1.765502e-40  
  591        2.261959e+00      1.571018e-40  
  592        2.265829e+00      1.293149e-40  
  593        2.269688e+00      1.080261e-40  
  594        2.273536e+00      9.319369e-41  
  595        2.277372e+00      8.191782e-41  
  596        2.281197e+00      7.120623e-41  
  597        2.285010e+00      6.738338e-41  
  598        2.288812e+00      5.585100e-41  
  599        2.292602e+00      4.761182e-41  
  600        2.296379e+00      4.064594e-41  
  601        2.300145e+00      3.596781e-41  
  602        2.303898e+00      3.126657e-41  
  603        2.307639e+00      2.851816e-41  
  604        2.311367e+00      2.264948e-41  
  605        2.315082e+00      1.950714e-41  
  606        2.318784e+00      1.823576e-41  
  607        2.322473e+00      1.571746e-41  
  608        2.326149e+00      1.454913e-41  
  609        2.329812e+00      1.266363e-41  
  610        2.333461e+00      1.130089e-41  
  611        2.337096e+00      9.355433e-42  
  612        2.340718e+00      8.080745e-42  
  613        2.344325e+00      7.306751e-42  
  614        2.347918e+00      6.338816e-42  
  615        2.351497e+00      6.087546e-42  
  616        2.355061e+00      5.309572e-42  
  617        2.358611e+00      4.690942e-42  
  618        2.362146e+00      3.987809e-42  
  619        2.365666e+00      3.401638e-42  
  620        2.369171e+00      3.027093e-42  
  621        2.372660e+00      2.638802e-42  
  622        2.376134e+00      2.436241e-42  
  623        2.379593e+00      2.129908e-42  
  624        2.383035e+00      1.874404e-42  
  625        2.386462e+00      1.613853e-42  
  626        2.389872e+00      1.290611e-42  
  627        2.393267e+00      1.138930e-42  
  628        2.396645e+00      9.964739e-43  
  629        2.400006e+00      8.984076e-43  
  630        2.403350e+00      7.874598e-43  
  631        2.406678e+00      6.925258e-43  
  632        2.409988e+00      5.952649e-43  
  633        2.413282e+00      5.218595e-43  
  634        2.416557e+00      4.565797e-43  
  635        2.419816e+00      4.009209e-43  
  636        2.423056e+00      3.573665e-43  
  637        2.426278e+00      3.142316e-43  
  638        2.429483e+00      2.767573e-43  
  639        2.432669e+00      2.403462e-43  
  640        2.435837e+00      2.262256e-43  
  641        2.438986e+00      1.997280e-43  
  642        2.442116e+00      1.701152e-43  
  643        2.445227e+00      1.498337e-43  
  644        2.448320e+00      1.330408e-43  
  645        2.451393e+00      1.173825e-43  
  646        2.454446e+00      1.036656e-43  
  647        2.457480e+00      8.937837e-44  
  648        2.460494e+00      8.172793e-44  
  649        2.463488e+00      7.234987e-44  
  650        2.466463e+00      6.708799e-44  
  651        2.469416e+00      5.918385e-44  
  652        2.472350e+00      5.261466e-44  
  653        2.475262e+00      4.660305e-44  
  654        2.478154e+00      4.130552e-44  
  655        2.481025e+00      3.343699e-44  
  656        2.483875e+00      3.016132e-44  
  657        2.486703e+00      2.680001e-44  
  658        2.489510e+00      2.465177e-44  
  659        2.492296e+00      2.186228e-44  
  660        2.495059e+00      2.144659e-44  
  661        2.497801e+00      1.921247e-44  
  662        2.500520e+00      1.708645e-44  
  663        2.503217e+00      1.520477e-44  
  664        2.505892e+00      1.253020e-44  
  665        2.508543e+00      1.125102e-44  
  666        2.511173e+00      1.005314e-44  
  667        2.513779e+00      9.485098e-45  
  668        2.516362e+00      8.455617e-45  
  669        2.518921e+00      7.948851e-45  
  670        2.521457e+00      7.340043e-45  
  671        2.523970e+00      6.557030e-45  
  672        2.526458e+00      5.860971e-45  
  673        2.528923e+00      5.046658e-45  
  674        2.531363e+00      4.401059e-45  
  675        2.533780e+00      3.952877e-45  
  676        2.536171e+00      3.579317e-45  
  677        2.538538e+00      3.304748e-45  
  678        2.540880e+00      2.960741e-45  
  679        2.543198e+00      2.725185e-45  
  680        2.545490e+00      2.855447e-45  
  681        2.547757e+00      2.561598e-45  
  682        2.549998e+00      2.299386e-45  
  683        2.552214e+00      2.022550e-45  
  684        2.554404e+00      1.934059e-45  
  685        2.556568e+00      1.706543e-45  
  686        2.558706e+00      1.537262e-45  
  687        2.560817e+00      1.451758e-45  
  688        2.562903e+00      1.328997e-45  
  689        2.564962e+00      1.196844e-45  
  690        2.566994e+00      1.094049e-45  
  691        2.568999e+00      1.084230e-45  
